	Compound	Date	Negative	Neutral	Positive	Tweets Ago
73	0.0	Mon Apr 02 00:17:55 +0000 2018	1.0	0.0	0.0	74
74	0.3182	Mon Apr 02 00:15:32 +0000 2018	0.777	0.0	0.223	75
75	0.0	Mon Apr 02 00:01:07 +0000 2018	1.0	0.0	0.0	76
76	0.0	Sun Apr 01 23:20:09 +0000 2018	1.0	0.0	0.0	77
77	-0.4939	Sun Apr 01 23:17:56 +0000 2018	0.714	0.286	0.0	78
78	0.0	Sun Apr 01 23:15:36 +0000 2018	1.0	0.0	0.0	79
79	-0.3182	Sun Apr 01 23:13:07 +0000 2018	0.685	0.315	0.0	80
80	0.2263	Sun Apr 01 22:42:29 +0000 2018	0.84	0.0	0.16	81
81	-0.34	Sun Apr 01 22:21:08 +0000 2018	0.789	0.211	0.0	82
82	-0.4767	Sun Apr 01 22:02:15 +0000 2018	0.693	0.307	0.0	83
83	-0.5719	Sun Apr 01 21:40:03 +0000 2018	0.684	0.316	0.0	84
84	0.0	Sun Apr 01 19:12:45 +0000 2018	1.0	0.0	0.0	85
85	-0.8957	Sun Apr 01 18:15:53 +0000 2018	0.393	0.607	0.0	86
86	-0.8316	Sun Apr 01 16:30:17 +0000 2018	0.63	0.37	0.0	87
87	0.0	Sun Apr 01 15:45:33 +0000 2018	1.0	0.0	0.0	88
88	-0.6705	Sun Apr 01 15:10:39 +0000 2018	0.678	0.237	0.085	89
89	0.0	Sun Apr 01 15:09:43 +0000 2018	1.0	0.0	0.0	90
90	-0.4939	Sun Apr 01 15:04:51 +0000 2018	0.873	0.127	0.0	91
91	-0.8555	Sun Apr 01 14:24:37 +0000 2018	0.38	0.544	0.076	92
92	-0.8402	Sun Apr 01 14:17:33 +0000 2018	0.5	0.5	0.0	93
93	0.0	Sun Apr 01 13:56:33 +0000 2018	1.0	0.0	0.0	94
94	0.0	Sun Apr 01 12:41:36 +0000 2018	1.0	0.0	0.0	95
95	0.0	Sun Apr 01 12:15:32 +0000 2018	1.0	0.0	0.0	96
96	0.0	Sun Apr 01 11:32:38 +0000 2018	1.0	0.0	0.0	97
97	0.0	Sun Apr 01 11:13:53 +0000 2018	1.0	0.0	0.0	98
98	0.0	Sun Apr 01 10:30:14 +0000 2018	1.0	0.0	0.0	99
99	0.0	Sun Apr 01 10:06:13 +0000 2018	1.0	0.0	0.0	100
