	Compound	Date	Negative	Neutral	Positive	Tweets Ago
73	0.5719	Tue Apr 03 08:00:00 +0000 2018	0.81	0.0	0.19	374
74	0.1027	Tue Apr 03 07:55:00 +0000 2018	0.851	0.0	0.149	375
75	-0.5719	Tue Apr 03 07:50:00 +0000 2018	0.791	0.209	0.0	376
76	0.0	Tue Apr 03 07:45:00 +0000 2018	1.0	0.0	0.0	377
77	0.0	Tue Apr 03 07:40:00 +0000 2018	1.0	0.0	0.0	378
78	0.3034	Tue Apr 03 07:35:00 +0000 2018	0.831	0.0	0.169	379
79	-0.5574	Tue Apr 03 07:30:00 +0000 2018	0.833	0.167	0.0	380
80	-0.5574	Tue Apr 03 07:25:00 +0000 2018	0.795	0.205	0.0	381
81	0.8481	Tue Apr 03 07:20:00 +0000 2018	0.674	0.0	0.326	382
82	-0.0516	Tue Apr 03 07:15:00 +0000 2018	0.921	0.079	0.0	383
83	0.0772	Tue Apr 03 07:10:00 +0000 2018	0.933	0.0	0.067	384
84	-0.5423	Tue Apr 03 07:05:00 +0000 2018	0.667	0.333	0.0	385
85	0.0	Tue Apr 03 07:00:00 +0000 2018	1.0	0.0	0.0	386
86	0.4404	Tue Apr 03 06:55:00 +0000 2018	0.698	0.0	0.302	387
87	0.0923	Tue Apr 03 06:50:00 +0000 2018	0.591	0.193	0.216	388
88	-0.3818	Tue Apr 03 06:45:00 +0000 2018	0.833	0.167	0.0	389
89	0.3818	Tue Apr 03 06:40:00 +0000 2018	0.874	0.0	0.126	390
90	-0.4767	Tue Apr 03 06:35:00 +0000 2018	0.657	0.248	0.095	391
91	0.0	Tue Apr 03 06:30:00 +0000 2018	1.0	0.0	0.0	392
92	0.128	Tue Apr 03 06:25:00 +0000 2018	0.914	0.0	0.086	393
93	0.0	Tue Apr 03 06:20:00 +0000 2018	1.0	0.0	0.0	394
94	0.0	Tue Apr 03 06:15:00 +0000 2018	1.0	0.0	0.0	395
95	0.0	Tue Apr 03 06:10:00 +0000 2018	1.0	0.0	0.0	396
96	-0.8442	Tue Apr 03 06:05:00 +0000 2018	0.649	0.351	0.0	397
97	0.0	Tue Apr 03 06:00:00 +0000 2018	1.0	0.0	0.0	398
98	0.0	Tue Apr 03 05:55:00 +0000 2018	1.0	0.0	0.0	399
99	0.0	Tue Apr 03 05:50:00 +0000 2018	1.0	0.0	0.0	400
