	Compound	Date	Negative	Neutral	Positive	Tweets Ago
73	0.0	Tue Apr 03 06:03:04 +0000 2018	1.0	0.0	0.0	174
74	0.765	Tue Apr 03 05:54:04 +0000 2018	0.577	0.0	0.423	175
75	0.0	Tue Apr 03 05:48:03 +0000 2018	1.0	0.0	0.0	176
76	-0.7783	Tue Apr 03 05:33:03 +0000 2018	0.595	0.405	0.0	177
77	0.0	Tue Apr 03 05:18:04 +0000 2018	1.0	0.0	0.0	178
78	0.2263	Tue Apr 03 05:03:05 +0000 2018	0.881	0.0	0.119	179
79	-0.5574	Tue Apr 03 04:48:03 +0000 2018	0.662	0.338	0.0	180
80	-0.34	Tue Apr 03 04:33:04 +0000 2018	0.789	0.211	0.0	181
81	-0.2263	Tue Apr 03 04:18:03 +0000 2018	0.718	0.163	0.12	182
82	-0.836	Tue Apr 03 04:03:04 +0000 2018	0.574	0.426	0.0	183
83	0.0	Tue Apr 03 03:48:04 +0000 2018	1.0	0.0	0.0	184
84	0.6249	Tue Apr 03 03:40:32 +0000 2018	0.601	0.112	0.288	185
85	-0.4404	Tue Apr 03 03:33:04 +0000 2018	0.734	0.266	0.0	186
86	-0.6808	Tue Apr 03 03:24:05 +0000 2018	0.616	0.384	0.0	187
87	0.0	Tue Apr 03 03:18:03 +0000 2018	1.0	0.0	0.0	188
88	0.4939	Tue Apr 03 03:03:04 +0000 2018	0.738	0.0	0.262	189
89	-0.4767	Tue Apr 03 02:55:01 +0000 2018	0.846	0.154	0.0	190
90	0.0	Tue Apr 03 02:35:02 +0000 2018	1.0	0.0	0.0	191
91	-0.5574	Tue Apr 03 02:05:02 +0000 2018	0.847	0.153	0.0	192
92	-0.4588	Tue Apr 03 01:55:01 +0000 2018	0.857	0.143	0.0	193
93	-0.1531	Tue Apr 03 01:41:04 +0000 2018	0.682	0.189	0.129	194
94	0.2263	Tue Apr 03 01:17:25 +0000 2018	0.899	0.0	0.101	195
95	0.4215	Tue Apr 03 01:15:01 +0000 2018	0.891	0.0	0.109	196
96	0.296	Tue Apr 03 00:55:01 +0000 2018	0.891	0.0	0.109	197
97	0.0	Tue Apr 03 00:35:01 +0000 2018	1.0	0.0	0.0	198
98	-0.25	Tue Apr 03 00:08:01 +0000 2018	0.895	0.105	0.0	199
99	-0.128	Mon Apr 02 23:55:01 +0000 2018	0.93	0.07	0.0	200
